subject,ROI,adjacency_rho,functional_rho
sub-01,M1,0.6050034154815458,0.5204710381475224
sub-01,SMA,-0.038787092888903245,0.2673387218276356
sub-01,PMC,0.4853820147832256,0.49980717559079696
sub-01,PPC,0.05705213555318203,0.31124942976067715
sub-02,M1,0.659192495147993,0.5256370037867036
sub-02,SMA,0.231134292753917,0.43523260510102985
sub-02,PMC,0.5658192564477669,0.5230540209671131
sub-02,PPC,0.24129082677547245,0.4739773473948901
sub-03,M1,0.6785651433742933,0.5333859522454758
sub-03,SMA,0.49493250047839205,0.4868922614928435
sub-03,PMC,0.3538904261749394,0.530802969425885
sub-03,PPC,0.5208671892042158,0.4765603302144808
sub-04,M1,0.6877394611427353,0.5230540209671131
sub-04,SMA,0.28406947933128335,0.36807505179167216
sub-04,PMC,0.5553492491539411,0.5127220896887503
sub-04,PPC,0.3338908314040987,0.44298155355980184
sub-05,M1,0.513093052051914,0.49980717559079696
sub-05,SMA,0.3838166745676708,0.34999417205453737
sub-05,PMC,0.4723833230930867,0.4817262958536621
sub-05,PPC,0.3629811510707761,0.3241643438586306
sub-06,M1,0.5293727639918148,0.5333859522454758
sub-06,SMA,0.4679111044086981,0.24667485927091012
sub-06,PMC,0.4610355906369044,0.4558964676577553
sub-06,PPC,0.32937681628340737,0.23634292799254739
sub-07,M1,0.6066961711518051,0.515305072508341
sub-07,SMA,0.13473081242174528,0.11752571829137601
sub-07,PMC,0.49466082364242453,0.4533134848381647
sub-07,PPC,0.3751230158167098,0.17435134032237104
sub-08,M1,0.7249173912339848,0.49980717559079696
sub-08,SMA,0.1698607171341625,0.3035004813019051
sub-08,PMC,0.4668661935011307,0.45847945047734606
sub-08,PPC,0.30260619883152967,0.45073050201857395
sub-09,M1,0.6543441085368802,0.5333859522454758
sub-09,SMA,0.7643314306674285,0.46622839893611806
sub-09,PMC,0.5509188269058553,0.5101391068691596
sub-09,PPC,0.5373349851074786,0.3887389143483976
sub-10,M1,0.5746174062894848,0.5023901584103876
sub-10,SMA,0.4250697571984332,0.3551601376937187
sub-10,PMC,0.6192977966970683,0.5204710381475224
sub-10,PPC,0.29019265724962845,0.401653828446351
sub-11,M1,0.6660053142653327,0.5101391068691596
sub-11,SMA,0.3775681073404175,0.43523260510102985
sub-11,PMC,0.7427853677533881,0.49980717559079696
sub-11,PPC,0.6172915677545389,0.4688113817557087
sub-12,M1,0.7246666126161686,0.5101391068691596
sub-12,SMA,0.14781309698448958,0.12010870111096669
sub-12,PMC,0.4627910409616177,0.4868922614928435
sub-12,PPC,0.38415104605809236,0.22601099671418465
sub-13,M1,0.6674263930996244,0.5256370037867036
sub-13,SMA,0.03341625082400662,0.30866644694108647
sub-13,PMC,0.453282351702754,0.5127220896887503
