subject,ROI,adjacency_rho,functional_rho
sub-01,M1,0.6306820721373283,0.5805579693222285
sub-01,SMA,-0.020133039192674496,0.20742490321093587
sub-01,PMC,0.4971649356655772,0.5481116157473334
sub-01,PPC,0.06259203159797248,0.3209871407230684
sub-02,M1,0.7129059054377013,0.5921459527418338
sub-02,SMA,0.23192676372889037,0.45540774839049053
sub-02,PMC,0.6127210620691746,0.5898283560579128
sub-02,PPC,0.22547333104161194,0.5573820024830177
sub-03,M1,0.7119452002480093,0.5736051792704652
sub-03,SMA,0.543988871215345,0.4855365052814645
sub-03,PMC,0.3593455107356404,0.504077278752833
sub-03,PPC,0.48001843651911896,0.5527468091151755
sub-04,M1,0.7423953777821581,0.5944635494257547
sub-04,SMA,0.2983825009810587,0.32562233409091057
sub-04,PMC,0.609128860055544,0.5481116157473334
sub-04,PPC,0.322629864573066,0.5226180522242017
sub-05,M1,0.5284713939122775,0.5504292124312545
sub-05,SMA,0.4134373898943821,0.436866974919122
sub-05,PMC,0.5087560526281647,0.504077278752833
sub-05,PPC,0.3404029105823668,0.3974678312924637
sub-06,M1,0.5611353703618033,0.566652389218702
sub-06,SMA,0.4641876857846301,0.24450645015367303
sub-06,PMC,0.4908576972462954,0.4438197649708852
sub-06,PPC,0.2933074713920339,0.2862231904642523
sub-07,M1,0.6338983460332536,0.5620171958508599
sub-07,SMA,0.146424001846308,0.16570816290035664
sub-07,PMC,0.5328154521613193,0.5017596820689121
sub-07,PPC,0.3644414252200933,0.28854078714817344
sub-08,M1,0.7524827822739234,0.566652389218702
sub-08,SMA,0.19667306024628187,0.4021030246603059
sub-08,PMC,0.47548641421122434,0.48090131191362234
sub-08,PPC,0.3176174896703255,0.4948068920171488
sub-09,M1,0.6981193994746167,0.5782403726383073
sub-09,SMA,0.7949000048883652,0.4785837152297012
sub-09,PMC,0.5951568650141548,0.5457940190634123
sub-09,PPC,0.5029082819083008,0.48090131191362234
sub-10,M1,0.6211794447175494,0.5828755660061495
sub-10,SMA,0.42730496045863087,0.43223178155127984
sub-10,PMC,0.6598165012595076,0.5782403726383073
sub-10,PPC,0.3071750419562827,0.5087124721206752
sub-11,M1,0.7044475227893265,0.5736051792704652
sub-11,SMA,0.39115320647261487,0.5110300688045962
sub-11,PMC,0.7683553027992684,0.5712875825865441
sub-11,PPC,0.5872832594377665,0.5527468091151755
sub-12,M1,0.7689818496621109,0.5643347925347809
sub-12,SMA,0.13781942492993673,0.2491416435215152
sub-12,PMC,0.5114710890338158,0.4971244887010699
sub-12,PPC,0.35495968269574246,0.3163519473552262
sub-13,M1,0.671846201026085,0.5736051792704652
sub-13,SMA,0.06892015491268241,0.38587984787285845
sub-13,PMC,0.4758205725380737,0.5782403726383073
