subject,ROI,adjacency_rho,functional_rho
sub-01,M1,0.6306820721373283,0.607157168227629
sub-01,SMA,-0.020133039192674496,0.050151822331631915
sub-01,PMC,0.4971649356655772,0.5836818471362267
sub-01,PPC,0.06259203159797248,0.15899194739176928
sub-02,M1,0.7129059054377013,0.5879500873346636
sub-02,SMA,0.23192676372889037,0.4684393617784343
sub-02,PMC,0.6127210620691746,0.39374515830579104
sub-02,PPC,0.22547333104161194,0.3233191950315845
sub-03,M1,0.7119452002480093,0.6306324893190312
sub-03,SMA,0.543988871215345,0.44923228088546896
sub-03,PMC,0.3593455107356404,0.6156936486245025
sub-03,PPC,0.48001843651911896,0.3809404377104807
sub-04,M1,0.7423953777821581,0.5922183275331002
sub-04,SMA,0.2983825009810587,0.3916110382065726
sub-04,PMC,0.609128860055544,0.5559382858463878
sub-04,PPC,0.322629864573066,0.36386747691673366
sub-05,M1,0.5284713939122775,0.6028889280291923
sub-05,SMA,0.4134373898943821,0.22728379056675743
sub-05,PMC,0.5087560526281647,0.5666088863424797
sub-05,PPC,0.3404029105823668,0.29130739354330876
sub-06,M1,0.5611353703618033,0.6413030898151231
sub-06,SMA,0.4641876857846301,0.4065498789011013
sub-06,PMC,0.4908576972462954,0.6050230481284106
sub-06,PPC,0.2933074713920339,0.3553309965198602
sub-07,M1,0.6338983460332536,0.6413030898151231
sub-07,SMA,0.146424001846308,0.3339897955276764
sub-07,PMC,0.5328154521613193,0.6135595285252842
sub-07,PPC,0.3644414252200933,0.3510627563214234
sub-08,M1,0.7524827822739234,0.6220960089221576
sub-08,SMA,0.19667306024628187,0.20594258957457365
sub-08,PMC,0.47548641421122434,0.6135595285252842
sub-08,PPC,0.3176174896703255,0.5239264843581122
sub-09,M1,0.6981193994746167,0.6349007295174679
sub-09,SMA,0.7949000048883652,0.5730112466401349
sub-09,PMC,0.5951568650141548,0.6220960089221576
sub-09,PPC,0.5029082819083008,0.34892863622220505
sub-10,M1,0.6211794447175494,0.5964865677315371
sub-10,SMA,0.42730496045863087,0.3894769181073543
sub-10,PMC,0.6598165012595076,0.6092912883268474
sub-10,PPC,0.3071750419562827,0.4342934401909402
sub-11,M1,0.7044475227893265,0.6135595285252842
sub-11,SMA,0.39115320647261487,0.4236228396948483
sub-11,PMC,0.7683553027992684,0.6050230481284106
sub-11,PPC,0.5872832594377665,0.5431335652510776
sub-12,M1,0.7689818496621109,0.6199618888229392
sub-12,SMA,0.13781942492993673,0.2400885111620677
sub-12,PMC,0.5114710890338158,0.5367312049534224
sub-12,PPC,0.35495968269574246,0.31051447443627417
sub-13,M1,0.671846201026085,0.6263642491205944
sub-13,SMA,0.06892015491268241,0.2230155503683207
sub-13,PMC,0.4758205725380737,0.4791099622745262
sub-13,PPC,0.368012742338296,0.41722047939719314
sub-14,M1,0.6819962602041346,0.5772794868385717
sub-14,SMA,0.5752535596711892,0.5196582441596754
sub-14,PMC,0.6917286214736225,0.6135595285252842
sub-14,PPC,0.5665027884868212,0.5281947245565489
sub-16,M1,0.5776344377499909,0.5922183275331002
sub-16,SMA,0.12858830115072292,0.1248460258042752
sub-16,PMC,0.5572925496030355,0.5772794868385717
sub-16,PPC,0.3363303559738901,0.36813571711517046
sub-17,M1,0.42087241266678055,0.6413030898151231
sub-17,SMA,0.34111299702692177,0.376672197512044
sub-17,PMC,0.43035415519113146,0.6178277687237208
sub-17,PPC,0.36109984195159966,0.41722047939719314
sub-18,M1,0.49060707850115837,0.6178277687237208
sub-18,SMA,0.19086705931727407,0.2614297121542515
sub-18,PMC,0.2483422915353656,0.5900842074338819
sub-18,PPC,0.3044600055506316,0.48551232257218135
sub-20,M1,0.6733707983923352,0.5986206878307554
sub-20,SMA,0.21254558077162694,0.06722478312537895
sub-20,PMC,0.538621453090327,0.472707601976871
sub-20,PPC,0.37369343389473525,0.21447906997144717
sub-21,M1,0.8000794589545305,0.6199618888229392
sub-21,SMA,0.38403145713163767,0.5495359255487327
sub-21,PMC,0.72382870574659,0.6028889280291923
sub-21,PPC,0.3020164727855456,0.6135595285252842
sub-22,M1,0.6860896997080395,0.6370348496166863
sub-22,SMA,0.28273971430542255,0.33612391562689475
sub-22,PMC,0.6012343695837277,0.6327666094182496
sub-22,PPC,0.30928441639451937,0.28703915334487207
sub-23,M1,0.7120287398297216,0.5836818471362267
sub-23,SMA,0.06244583732997587,0.21234494987222877
sub-23,PMC,0.5067928724579247,0.40014751860344616
sub-23,PPC,0.1543811470044086,0.29557563374174556
sub-24,M1,0.689640131930814,0.5900842074338819
sub-24,SMA,-0.004552907203322657,0.2230155503683207
sub-24,PMC,0.6335641877064041,0.5602065260448247
sub-24,PPC,0.12226017783601296,0.15899194739176928
sub-25,M1,0.5719746310889797,0.5794136069377901
sub-25,SMA,0.11670479565214223,0.1547237071933325
sub-25,PMC,0.5184257592113684,0.5409994451518593
sub-25,PPC,0.20281321950213907,0.4748417220760895
sub-26,M1,0.7809697796378322,0.5943524476323186
sub-26,SMA,0.23238623142830822,0.2230155503683207
sub-26,PMC,0.6682539990124543,0.562340646144043
sub-26,PPC,0.3827365936150964,0.2614297121542515
sub-27,M1,0.573018875860384,0.5986206878307554
sub-27,SMA,0.3178054537291783,0.15899194739176928
sub-27,PMC,0.427806197948905,0.5602065260448247
sub-27,PPC,0.2581373074911378,0.19527198907848173
sub-29,M1,0.699915500481432,0.624230129021376
sub-29,SMA,0.34397422770056946,0.18033314838395306
sub-29,PMC,0.6179005161353399,0.5580724059456061
sub-29,PPC,0.3320698373065607,0.376672197512044
sub-30,M1,0.6133267240365892,0.6178277687237208
sub-30,SMA,0.43123132079911103,0.3467945161229867
sub-30,PMC,0.4149411023652043,0.6007548079299738
sub-30,PPC,0.3052745164723269,0.4641711215799976
sub-31,M1,0.6546997018796268,0.6178277687237208
sub-31,SMA,0.30535805605403926,0.15045546699489576
sub-31,PMC,0.5449704613004651,0.5986206878307554
sub-31,PPC,0.4122051810641251,0.5132558838620203
sub-32,M1,0.5119514416286618,0.6349007295174679
sub-32,SMA,0.648914585846047,0.5367312049534224
sub-32,PMC,0.509069326059586,0.607157168227629
sub-32,PPC,0.31534103606866415,0.4684393617784343
sub-33,M1,0.6294916330979274,0.5900842074338819
sub-33,SMA,0.13961552593675208,0.028810621339448127
sub-33,PMC,0.4893748696709012,0.545267685350296
sub-33,PPC,0.22601633832274212,0.38734279800813587
sub-34,M1,0.5809133663322004,0.6327666094182496
sub-34,SMA,0.4156720737051873,0.2849050332456537
sub-34,PMC,0.5284087392259932,0.5388653250526408
sub-34,PPC,0.33979724861495236,0.4342934401909402
sub-35,M1,0.46477246285661644,0.6199618888229392
sub-35,SMA,0.39136205542689567,0.438561680389377
sub-35,PMC,0.5096749880270005,0.6220960089221576
sub-35,PPC,0.20742878139174598,0.44923228088546896
sub-36,M1,0.4648351175429008,0.5986206878307554
sub-36,SMA,0.2815701601614498,0.10990718510974655
sub-36,PMC,0.48762053845494213,0.3660015970159521
sub-36,PPC,0.3831751764190861,0.15899194739176928
sub-37,M1,0.6383468287594357,0.5900842074338819
sub-37,SMA,0.4771572058454712,0.23368615086441255
sub-37,PMC,0.4158182679731839,0.5068535235643651
sub-37,PPC,0.4858453223435548,0.30838035433705585
sub-38,M1,0.6145589328668463,0.6284983692198127
sub-38,SMA,0.4431148262976918,0.46630524167921594
sub-38,PMC,0.5678394217942188,0.6327666094182496
sub-38,PPC,0.12280318511714322,0.4876464426713997
sub-39,M1,0.3943277105776838,0.6220960089221576
