subject,ROI,adjacency_rho,functional_rho
sub-01,M1,0.6050034154815458,0.23662560350522838
sub-01,SMA,-0.038787092888903245,-0.004639717715788791
sub-01,PMC,0.4853820147832256,0.24590503893680596
sub-01,PPC,0.05705213555318203,0.0
sub-02,M1,0.659192495147993,0.26910362751574995
sub-02,SMA,0.231134292753917,0.2876624983789051
sub-02,PMC,0.5658192564477669,0.2783830629473275
sub-02,PPC,0.24129082677547245,0.2969419338104826
sub-03,M1,0.6785651433742933,0.25982419208417235
sub-03,SMA,0.49493250047839205,0.26910362751574995
sub-03,PMC,0.3538904261749394,0.25982419208417235
sub-03,PPC,0.5208671892042158,0.2923022160946939
sub-04,M1,0.6877394611427353,0.24126532122101718
sub-04,SMA,0.28406947933128335,0.09279435431577585
sub-04,PMC,0.5553492491539411,0.26446390979996115
sub-04,PPC,0.3338908314040987,0.26910362751574995
sub-05,M1,0.513093052051914,0.23662560350522838
sub-05,SMA,0.3838166745676708,0.26446390979996115
sub-05,PMC,0.4723833230930867,0.26446390979996115
sub-05,PPC,0.3629811510707761,0.2783830629473275
sub-06,M1,0.5293727639918148,0.2737433452315387
sub-06,SMA,0.4679111044086981,0.15311068462103014
sub-06,PMC,0.4610355906369044,0.2783830629473275
sub-06,PPC,0.32937681628340737,0.25054475665259474
sub-07,M1,0.6066961711518051,0.26446390979996115
sub-07,SMA,0.13473081242174528,0.1809489909157629
sub-07,PMC,0.49466082364242453,0.2737433452315387
sub-07,PPC,0.3751230158167098,0.2783830629473275
sub-08,M1,0.7249173912339848,0.2783830629473275
sub-08,SMA,0.1698607171341625,0.25982419208417235
sub-08,PMC,0.4668661935011307,0.2783830629473275
sub-08,PPC,0.30260619883152967,0.2783830629473275
sub-09,M1,0.6543441085368802,0.25518447436838354
sub-09,SMA,0.7643314306674285,0.24126532122101718
sub-09,PMC,0.5509188269058553,0.2876624983789051
sub-09,PPC,0.5373349851074786,0.2969419338104826
sub-10,M1,0.5746174062894848,0.2273461680736508
sub-10,SMA,0.4250697571984332,0.2273461680736508
sub-10,PMC,0.6192977966970683,0.25054475665259474
sub-10,PPC,0.29019265724962845,0.2737433452315387
sub-11,M1,0.6660053142653327,0.24590503893680596
sub-11,SMA,0.3775681073404175,0.24126532122101718
sub-11,PMC,0.7427853677533881,0.25518447436838354
sub-11,PPC,0.6172915677545389,0.2783830629473275
sub-12,M1,0.7246666126161686,0.2783830629473275
sub-12,SMA,0.14781309698448958,0.20414757949470685
sub-12,PMC,0.4627910409616177,0.25982419208417235
sub-12,PPC,0.38415104605809236,0.2737433452315387
sub-13,M1,0.6674263930996244,0.25518447436838354
sub-13,SMA,0.03341625082400662,0.013919153147366378
sub-13,PMC,0.453282351702754,0.25054475665259474
sub-13,PPC,0.3898771578315619,0.20414757949470685
sub-14,M1,0.6444592513512922,0.2737433452315387
sub-14,SMA,0.5485573282547529,0.26446390979996115
sub-14,PMC,0.661052436563463,0.26446390979996115
sub-14,PPC,0.5966023317847036,0.2876624983789051
sub-16,M1,0.5324448020600631,0.24126532122101718
sub-16,SMA,0.1227770316391738,0.22270645035786205
sub-16,PMC,0.5402398374305161,0.26446390979996115
sub-16,PPC,0.3388646073241197,0.23662560350522838
sub-17,M1,0.3951226105875505,0.25982419208417235
sub-17,SMA,0.3726988225111533,0.20878729721049563
sub-17,PMC,0.39836183440100953,0.26446390979996115
sub-17,PPC,0.4005143508705985,0.2876624983789051
sub-18,M1,0.4752045825435188,0.25982419208417235
sub-18,SMA,0.22400800036430704,0.25518447436838354
sub-18,PMC,0.2451152006971693,0.25982419208417235
sub-18,PPC,0.336126940746293,0.2783830629473275
sub-20,M1,0.6264031908685269,0.26446390979996115
sub-20,SMA,0.18683007027305765,0.13919153147366375
sub-20,PMC,0.4928008822269544,0.2737433452315387
sub-20,PPC,0.38964727743189714,0.24590503893680596
sub-21,M1,0.7614265783443911,0.25054475665259474
sub-21,SMA,0.324862801162716,0.20414757949470685
sub-21,PMC,0.714739958994278,0.2783830629473275
sub-21,PPC,0.3101295573660152,0.26910362751574995
sub-22,M1,0.6422231420090979,0.2737433452315387
sub-22,SMA,0.28016151253698107,0.25054475665259474
sub-22,PMC,0.5801136376632895,0.2830227806631163
sub-22,PPC,0.3459908997137296,0.2969419338104826
sub-23,M1,0.6923161709178808,0.2737433452315387
sub-23,SMA,0.047209074803896786,0.1484709669052413
sub-23,PMC,0.4710667353495518,0.26910362751574995
sub-23,PPC,0.1594116080584881,0.2783830629473275
sub-24,M1,0.6410528417926223,0.2180667326420732
sub-24,SMA,-0.048504764329280414,0.2180667326420732
sub-24,PMC,0.5747636938165441,0.25054475665259474
sub-24,PPC,0.11023810074836457,0.26446390979996115
sub-25,M1,0.5508979286877039,0.2180667326420732
sub-25,SMA,0.15422884995695366,0.09743407203156464
sub-25,PMC,0.4843162056575068,0.19950786177891808
sub-25,PPC,0.2055757719548175,0.25982419208417235
sub-26,M1,0.763871669868099,0.26910362751574995
sub-26,SMA,0.23625435620099744,0.06495604802104309
sub-26,PMC,0.6578550091863067,0.24590503893680596
sub-26,PPC,0.40348189784808997,0.2180667326420732
sub-27,M1,0.5295190515188741,0.24126532122101718
sub-27,SMA,0.28110193235379183,0.013919153147366378
sub-27,PMC,0.3791354737017687,0.1716695554841853
sub-27,PPC,0.2614158108552213,0.06495604802104309
sub-29,M1,0.6904144330661081,0.24590503893680596
sub-29,SMA,0.3305053200635802,0.08351491888419826
sub-29,PMC,0.5826214238414513,0.24590503893680596
sub-29,PPC,0.3435876046263245,0.15311068462103014
sub-30,M1,0.5738441722178849,0.25518447436838354
sub-30,SMA,0.4666572113196172,0.26910362751574995
sub-30,PMC,0.3874738627441568,0.26910362751574995
sub-30,PPC,0.33192639889787195,0.2969419338104826
sub-31,M1,0.6485135056726539,0.23662560350522838
sub-31,SMA,0.2888342730697908,0.2319858857894396
sub-31,PMC,0.5438134327343968,0.2737433452315387
sub-31,PPC,0.4385700061242045,0.2969419338104826
sub-32,M1,0.5119645482717412,0.26446390979996115
sub-32,SMA,0.6094965323840857,0.2737433452315387
sub-32,PMC,0.4979836403284889,0.2783830629473275
sub-32,PPC,0.320662259314295,0.2969419338104826
sub-33,M1,0.6269674427586134,0.26910362751574995
sub-33,SMA,0.1392030311061339,0.14383124918945256
sub-33,PMC,0.49856879043672675,0.26910362751574995
sub-33,PPC,0.2482081369835689,0.20878729721049563
sub-34,M1,0.5732381238914956,0.2830227806631163
sub-34,SMA,0.38341960842279516,0.2923022160946939
sub-34,PMC,0.5023931643584235,0.2783830629473275
sub-34,PPC,0.3572341410791552,0.2969419338104826
sub-35,M1,0.40826758980474886,0.25054475665259474
sub-35,SMA,0.346074492586335,0.16239012005260772
sub-35,PMC,0.4814949462070748,0.26446390979996115
sub-35,PPC,0.22122853735017764,0.2783830629473275
sub-36,M1,0.4111933403459376,0.25518447436838354
sub-36,SMA,0.2935363721538443,0.06495604802104309
sub-36,PMC,0.47482841461679454,0.2737433452315387
sub-36,PPC,0.38640805361843805,0.2830227806631163
sub-37,M1,0.5990056268721087,0.25054475665259474
sub-37,SMA,0.44550821455045225,0.2273461680736508
sub-37,PMC,0.3628766599800194,0.25054475665259474
sub-37,PPC,0.46885152422550885,0.2319858857894396
sub-38,M1,0.6081172499860968,0.2783830629473275
sub-38,SMA,0.45658427017066716,0.2876624983789051
sub-38,PMC,0.5742203401446092,0.2969419338104826
sub-38,PPC,0.11868098088150945,0.2319858857894396
sub-39,M1,0.3856557177649895,0.2876624983789051
sub-39,SMA,0.4170239432101639,0.19950786177891808
sub-39,PMC,0.41478783386796964,0.2737433452315387
sub-39,PPC,0.41033651340173233,0.2737433452315387
sub-42,M1,0.07316466174787191,-0.04639717715788792
sub-42,SMA,0.05239183290543128,0.009279435431577582
sub-42,PMC,0.15080154218013245,-0.051036894873676714
sub-42,PPC,0.22538728276229608,0.09279435431577585
sub-43,M1,0.7310614673704814,0.23662560350522838
sub-43,SMA,0.3246329207630512,0.26910362751574995
sub-43,PMC,0.5645026687042319,0.2319858857894396
sub-43,PPC,0.44049264219412854,0.24590503893680596
sub-44,M1,0.6529648261388912,0.24126532122101718
sub-44,SMA,0.3208294450595057,0.24590503893680596
sub-44,PMC,0.5999669449070708,0.2273461680736508
sub-44,PPC,0.21667272579318364,0.2783830629473275
sub-45,M1,0.6688474719339162,0.2876624983789051
sub-45,SMA,0.4012457885058957,0.21342701492628446
sub-45,PMC,0.3607868381648845,0.2783830629473275
sub-45,PPC,0.40099500988807946,0.2737433452315387
sub-46,M1,0.4482667793464303,0.25518447436838354
sub-46,SMA,0.1921591159016516,0.24126532122101718
sub-46,PMC,0.44270785331817153,0.2876624983789051
sub-46,PPC,0.1850328235120417,0.19022842634734047
sub-47,M1,0.38208212246110884,0.24126532122101718
sub-47,SMA,-0.016405101248808757,0.060316330305254295
sub-47,PMC,0.49018860495803585,0.2180667326420732
sub-47,PPC,0.23660962590957035,0.24126532122101718
sub-48,M1,0.5173144921184866,0.22270645035786205
sub-48,SMA,0.045955181714815864,0.02319858857894396
sub-48,PMC,0.4331155711867025,0.2180667326420732
sub-48,PPC,0.2852606777659102,0.24590503893680596
sub-49,M1,0.8024915770117914,0.23662560350522838
sub-49,SMA,0.2767342047601599,0.1855887086315517
sub-49,PMC,0.6375837375794984,0.24126532122101718
sub-49,PPC,0.2933691864086335,0.2737433452315387
sub-50,M1,0.6222862418927112,0.2830227806631163
sub-50,SMA,0.5612425466726215,0.20414757949470685
sub-50,PMC,0.49660435793049995,0.2830227806631163
sub-50,PPC,0.33884370910596834,0.21342701492628446
sub-51,M1,0.603456947338346,0.25054475665259474
sub-51,SMA,0.5904373574300558,0.19022842634734047
sub-51,PMC,0.48628063816373357,0.25054475665259474
sub-51,PPC,0.42310532469220646,0.24126532122101718
sub-52,M1,0.14060321172227427,-0.09743407203156464
sub-52,SMA,0.06967465931659668,-0.04639717715788792
sub-52,PMC,0.1162149911396503,-0.15775040233681895
sub-52,PPC,0.21098841045601682,-0.21342701492628446
sub-53,M1,0.7322526658051082,0.2923022160946939
sub-53,SMA,0.5171682045914271,0.20414757949470685
sub-53,PMC,0.6930058121168754,0.24590503893680596
sub-53,PPC,0.4518612728684623,0.2737433452315387
sub-54,M1,0.6232266617095218,0.2876624983789051
sub-54,SMA,0.6308545113347642,0.2180667326420732
sub-54,PMC,0.5309192321350146,0.2923022160946939
sub-54,PPC,0.579068726755722,0.2737433452315387
sub-55,M1,0.595369336913774,0.21342701492628446
sub-55,SMA,0.5448374454238127,0.07887520116840947
sub-55,PMC,0.38676332332701097,0.2273461680736508
sub-55,PPC,0.3188232161169762,-0.03247802401052154
sub-56,M1,0.5209089856405185,0.2737433452315387
sub-56,SMA,0.7904959997929171,0.2319858857894396
sub-56,PMC,0.4771272186134429,0.26446390979996115
sub-56,PPC,0.2976951175659627,0.2969419338104826
sub-57,M1,0.674113822908056,0.2273461680736508
sub-57,SMA,0.4799902745001777,0.1484709669052413
sub-57,PMC,0.5628308112521241,0.26910362751574995
sub-57,PPC,0.39940674530857695,0.1716695554841853
sub-58,M1,0.6350132567468827,0.25054475665259474
sub-58,SMA,0.45468253231889433,0.2273461680736508
sub-58,PMC,0.4825189588964908,0.24590503893680596
sub-58,PPC,0.3301291521368559,0.2969419338104826
sub-59,M1,0.5898104108855153,0.25054475665259474
sub-59,SMA,0.571273691385269,0.25054475665259474
sub-59,PMC,0.5949095761144444,0.2783830629473275
sub-59,PPC,0.3810790079898441,0.2783830629473275
sub-60,M1,0.7535897465376353,0.26446390979996115
sub-60,SMA,0.4318616780976216,0.14383124918945256
sub-60,PMC,0.4713593104036706,0.2737433452315387
sub-60,PPC,0.48665680609045786,0.2830227806631163
sub-61,M1,0.659192495147993,0.26910362751574995
sub-61,SMA,0.5770207013768899,0.25982419208417235
sub-61,PMC,0.692086290518216,0.2923022160946939
sub-61,PPC,0.46274924452531496,0.2830227806631163
sub-62,M1,0.4745358395626757,0.24590503893680596
sub-62,SMA,0.5403234303031215,0.2830227806631163
sub-62,PMC,0.6197993539327007,0.2830227806631163
sub-62,PPC,0.36860277175348893,0.2969419338104826
sub-63,M1,0.6924206620086375,0.2783830629473275
sub-63,SMA,0.5809077699530407,0.17630927319997414
sub-63,PMC,0.4576918757326886,0.2783830629473275
sub-63,PPC,0.598065207055298,0.2737433452315387
sub-65,M1,0.6220145650567437,0.24590503893680596
sub-65,SMA,-0.026958701415239865,0.09279435431577585
sub-65,PMC,0.42415023559977383,0.25518447436838354
sub-65,PPC,0.21186613561837345,0.2737433452315387
sub-66,M1,0.4847550682386852,0.25982419208417235
sub-66,SMA,0.14074949924933372,0.004639717715788791
sub-66,PMC,0.41537298397620737,0.25054475665259474
sub-66,PPC,0.3230655544017001,0.19950786177891808
sub-67,M1,0.44891462410912214,0.2923022160946939
sub-67,SMA,0.35773569831478763,0.2876624983789051
sub-67,PMC,0.3921759618282103,0.2830227806631163
sub-67,PPC,0.2646550346686804,0.24590503893680596
sub-68,M1,0.5315252804614037,0.26446390979996115
sub-68,SMA,0.28005702144622435,0.2319858857894396
sub-68,PMC,0.4276820344673518,0.2830227806631163
sub-68,PPC,0.2411863356847157,0.25054475665259474
