ROI_1,ROI_2,Adjacency_Correlation,Functional_Correlation,Correlation_Difference
M1,SMA,0.1969124911909583,0.27172129911608084,-0.07480880792512254
M1,PMC,0.6847324535881242,0.5854244105520681,0.09930804303605612
M1,PPC,0.29860678700684967,0.4643148847095501,-0.16570809770270045
SMA,M1,0.1969124911909583,0.27172129911608084,-0.07480880792512254
SMA,PMC,0.23843517304996545,0.2312631602395524,0.007172012810413048
SMA,PPC,0.5587332314459111,0.49675962499630494,0.0619736064496062
PMC,M1,0.6847324535881242,0.5854244105520681,0.09930804303605612
PMC,SMA,0.23843517304996545,0.2312631602395524,0.007172012810413048
PMC,PPC,0.23925719558882105,0.5240808908120814,-0.28482369522326034
PPC,M1,0.29860678700684967,0.4643148847095501,-0.16570809770270045
PPC,SMA,0.5587332314459111,0.49675962499630494,0.0619736064496062
PPC,PMC,0.23925719558882105,0.5240808908120814,-0.28482369522326034
